Experiment	Sample	Study	GSM	Scientific name	Taxon id	Strategy	Source	Platform	Selection	Experiment title	Sample title	Design description	Sample attribute_BioSampleModel	Sample attribute_dev_stage	Sample attribute_scientific_name	Sample attribute_cell type	Sample attribute_treatment	Sample attribute_sub_species	Sample attribute_ENA-FIRST-PUBLIC	Sample attribute_passages	Sample attribute_ENA first public	Sample attribute_ENA-LAST-UPDATE	Sample attribute_disease	Sample attribute_ecotype	Sample attribute_cell_line	Sample attribute_External Id	Sample attribute_Submitter Id	Sample attribute_strain	Sample attribute_transcription factor	Sample attribute_INSDC first public	Sample attribute_INSDC status	Sample attribute_cell line	Sample attribute_sex	Sample attribute_antibody	Sample attribute_broker name	Sample attribute_phenotype	Sample attribute_breed	Sample attribute_source_name	Sample attribute_isolate	Sample attribute_INSDC last update	Sample attribute_age	Sample attribute_Sex	Sample attribute_biomaterial_provider	Sample attribute_individual	Sample attribute_chip antibody	Sample attribute_sample name	Sample attribute_INSDC center alias	Sample attribute_chip antibody details	Sample attribute_collection_date	Sample attribute_common name	Sample attribute_genotype	Sample attribute_developmental stage	Sample attribute_tissue	Sample attribute_replicate	Sample attribute_organism part	Sample attribute_geo_loc_name	Sample attribute_tumor grading	Sample attribute_INSDC center name	Sample attribute_cultivar	Sample attribute_ENA last update	Experiment attribute_Experimental Factor: Stationary	Experiment attribute_Experimental Factor: organism part	Experiment attribute_Experimental Factor: CTVT5	Experiment attribute_Experimental Factor: Regressive	Experiment attribute_Experimental Factor: immunoprecipitate	Experiment attribute_Experimental Factor: Progressive	Experiment attribute_Experimental Factor: CTVT6	Experiment attribute_Experimental Factor: CTVT17	Experiment attribute_Experimental Factor: organism	File information_Alternatives_1_@org	File information_@cluster	File information_@filename	File information_Alternatives_1_@url	File information_Alternatives_@access_type	File information_Alternatives_0_@access_type	File information_Alternatives_1_@free_egress	File information_Alternatives_@free_egress	File information_Alternatives_@org	File information_@version	File information_Alternatives_0_@free_egress	File information_@supertype	File information_@sratoolkit	File information_@size	File information_@semantic_name	File information_@date	File information_Alternatives_0_@org	File information_Alternatives_2_@free_egress	File information_Alternatives_1_@access_type	File information_Alternatives_2_@url	File information_@md5	File information_Alternatives_2_@org	File information_Alternatives_0_@url	File information_Alternatives_2_@access_type	File information_Alternatives_@url	File information_@url	Query
SRX15288997	SRS13020005	SRP375418	GSM6156833	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina NovaSeq 6000	ChIP	GSM6156833: ChIP_k9me3_OV_244; Canis lupus familiaris; ChIP-Seq	ChIP_k9me3_OV_244							familiaris																			Beagle	Ovary				female			H3K9me3 (Abcam, #ab8898)								Ovary																	AWS	public	ChIP_k9me3_OV_244_nova_1.fq.gz	s3://sra-pub-zq-4/SRR19225145/SRR19225145.lite.1	Use Cloud Data Delivery	anonymous	s3.us-east-1	-	AWS	1	worldwide	Original	0	3534142943	fastq	2022-05-16 14:49:10	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-108/SRR19225145/SRR19225145.lite.1	b80498ad98ad4c0264586268ac37c3dd	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19225/SRR19225145/SRR19225145.lite.1	gcp identity	s3://sra-pub-src-9/SRR19225145/ChIP_k9me3_OV_244_nova_1.fq.gz.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR19225145/SRR19225145	
SRX15288996	SRS13020004	SRP375418	GSM6156832	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina HiSeq 2500	ChIP	GSM6156832: ChIP_k9me3_MG_679; Canis lupus familiaris; ChIP-Seq	ChIP_k9me3_MG_679							familiaris																			Beagle	Mammary gland				female			H3K9me3 (Abcam, #ab8898)								Mammary gland																	AWS	public	SRR19225146.lite	s3://sra-pub-zq-4/SRR19225146/SRR19225146.lite.1	anonymous	anonymous	s3.us-east-1	worldwide	AWS	1	worldwide	Primary ETL	1	679737670	SRA Lite	2022-10-16 02:15:39	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-108/SRR19225146/SRR19225146.lite.1	84b94cb0945dc8dbc2b9585e0763e66e	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19225/SRR19225146/SRR19225146.lite.1	gcp identity	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR19225146/SRR19225146	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR019/19225/SRR19225146/SRR19225146.lite.1	
SRX15288995	SRS13020002	SRP375418	GSM6156831	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina NovaSeq 6000	ChIP	GSM6156831: ChIP_k9me3_MG_244; Canis lupus familiaris; ChIP-Seq	ChIP_k9me3_MG_244							familiaris																			Beagle	Mammary gland				female			H3K9me3 (Abcam, #ab8898)								Mammary gland																	AWS	public	SRR19225147.lite	s3://sra-pub-zq-4/SRR19225147/SRR19225147.lite.1	anonymous	anonymous	s3.us-east-1	worldwide	AWS	1	worldwide	Primary ETL	1	2359198403	SRA Lite	2022-10-12 03:43:54	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-108/SRR19225147/SRR19225147.lite.1	4e631c32dca98020700a515de0191ab5	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19225/SRR19225147/SRR19225147.lite.1	gcp identity	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR19225147/SRR19225147	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19225/SRR19225147/SRR19225147.lite.1	
SRX15288994	SRS13020003	SRP375418	GSM6156830	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina HiSeq 2500	ChIP	GSM6156830: ChIP_k9me3_LU_jj8; Canis lupus familiaris; ChIP-Seq	ChIP_k9me3_LU_jj8							familiaris																			Beagle	Lung				male			H3K9me3 (Abcam, #ab8898)								Lung																	AWS	public	SRR19225148.lite	s3://sra-pub-zq-5/SRR19225148/SRR19225148.lite.1	anonymous	anonymous	s3.us-east-1	worldwide	AWS	1	worldwide	Primary ETL	1	789942069	SRA Lite	2022-10-18 22:25:34	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-108/SRR19225148/SRR19225148.lite.1	14c3ad4002f8d22af70bf5586961de71	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19225/SRR19225148/SRR19225148.lite.1	gcp identity	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR19225148/SRR19225148	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19225/SRR19225148/SRR19225148.lite.1	
SRX13146846	SRS11079226	SRP346332	GSM5691994	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina HiSeq 2500	ChIP	GSM5691994: Sample7_ImmCnMb_CCH_mono; Canis lupus familiaris; ChIP-Seq	Sample7_ImmCnMb_CCH_mono					Immortalized canine myoblastes	doxycycline inducible	familiaris											DUXC									cultured canine skeletal muscle							DUXC monoclonal																									AWS	public	Sample7_ImmCnMb_CCH_mono.fastq.gz	s3://sra-pub-zq-6/SRR16955243/SRR16955243.lite.1	Use Cloud Data Delivery	anonymous	s3.us-east-1	-	AWS	1	worldwide	Original	0	1241883120	fastq	2021-11-16 09:35:19	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-109/SRR16955243/SRR16955243.lite.1	28c914cc6bcbefb42efc7eb58f5fc67d	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16955/SRR16955243/SRR16955243.lite.1	gcp identity	s3://sra-pub-src-17/SRR16955243/Sample7_ImmCnMb_CCH_mono.fastq.gz.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR16955243/SRR16955243	
SRX13146845	SRS11079227	SRP346332	GSM5691993	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina HiSeq 2500	ChIP	GSM5691993: Sample6_ImmCnMb_hDUX4_mono; Canis lupus familiaris; ChIP-Seq	Sample6_ImmCnMb_hDUX4_mono					Immortalized canine myoblastes	doxycycline inducible	familiaris											DUX4									cultured canine skeletal muscle							hDUX4 monoclonal																									AWS	public	Sample6_ImmCnMb_hDUX4_mono.fastq.gz	s3://sra-pub-zq-7/SRR16955242/SRR16955242.lite.1	Use Cloud Data Delivery	anonymous	s3.us-east-1	-	AWS	1	worldwide	Original	0	999543879	fastq	2021-11-16 09:33:44	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-109/SRR16955242/SRR16955242.lite.1	5a5eb8579dbbdfd2c4b50469c139f914	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR016/16955/SRR16955242/SRR16955242.lite.1	gcp identity	s3://sra-pub-src-5/SRR16955242/Sample6_ImmCnMb_hDUX4_mono.fastq.gz.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR16955242/SRR16955242	
SRX13146844	SRS11079224	SRP346332	GSM5691992	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina HiSeq 2500	ChIP	GSM5691992: Sample5_ImmCnMb_luc_mono; Canis lupus familiaris; ChIP-Seq	Sample5_ImmCnMb_luc_mono					Immortalized canine myoblastes	not doxycycline inducible	familiaris											Luciferase									cultured canine skeletal muscle							Luciferase monoclonal																									AWS	public	Sample5_ImmCnMb_luc_mono.fastq.gz	s3://sra-pub-zq-9/SRR16955241/SRR16955241.lite.1	Use Cloud Data Delivery	anonymous	s3.us-east-1	-	AWS	1	worldwide	Original	0	926641557	fastq	2021-11-16 09:32:35	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-104/SRR16955241/SRR16955241.lite.1	59fa37f00ef721d83a7ce9655dfd7b2d	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-20/SRR016/16955/SRR16955241/SRR16955241.lite.1	gcp identity	s3://sra-pub-src-3/SRR16955241/Sample5_ImmCnMb_luc_mono.fastq.gz.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR16955241/SRR16955241	
SRX13146843	SRS11079225	SRP346332	GSM5691991	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina HiSeq 2500	ChIP	GSM5691991: Sample4_ImmCnMb_CALTh_poly; Canis lupus familiaris; ChIP-Seq	Sample4_ImmCnMb_CALTh_poly					Immortalized canine myoblastes	doxycycline inducible	familiaris											DUXC-ALT									cultured canine skeletal muscle							DUXC-ALT polyclonal																									AWS	public	Sample4_ImmCnMb_CALTh_poly.fastq.gz	s3://sra-pub-zq-9/SRR16955240/SRR16955240.lite.1	Use Cloud Data Delivery	anonymous	s3.us-east-1	-	AWS	1	worldwide	Original	0	1119969077	fastq	2021-11-16 09:33:57	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-104/SRR16955240/SRR16955240.lite.1	901c905107c2bd9687592b1ca610a8ed	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR016/16955/SRR16955240/SRR16955240.lite.1	gcp identity	s3://sra-pub-src-10/SRR16955240/Sample4_ImmCnMb_CALTh_poly.fastq.gz.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR16955240/SRR16955240	
SRX13146842	SRS11079223	SRP346332	GSM5691990	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	Illumina HiSeq 2500	ChIP	GSM5691990: Sample1_ImmCnMb_luc_poly; Canis lupus familiaris; ChIP-Seq	Sample1_ImmCnMb_luc_poly					Immortalized canine myoblastes	not doxycycline inducible	familiaris											Luciferase									cultured canine skeletal muscle							Luciferase polyclonal																									AWS	public	Sample1_ImmCnMb_luc_poly.fastq.gz	s3://sra-pub-zq-8/SRR16955239/SRR16955239.lite.1	Use Cloud Data Delivery	anonymous	s3.us-east-1	-	AWS	1	worldwide	Original	0	1037121492	fastq	2021-11-16 09:34:08	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-101/SRR16955239/SRR16955239.lite.1	5e47a808adcab6e90e1d344527a7771e	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16955/SRR16955239/SRR16955239.lite.1	gcp identity	s3://sra-pub-src-14/SRR16955239/Sample1_ImmCnMb_luc_poly.fastq.gz.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR16955239/SRR16955239	
SRX9724962	SRS7918356	SRP299114	GSM4987131	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	NextSeq 550	ChIP	GSM4987131: FlatCoatedRetriever2 - PBMCs input; Canis lupus familiaris; ChIP-Seq	FlatCoatedRetriever2 - PBMCs input					peripheral blood mononuclear cells		familiaris																none			Flat Coated Retriever	peripheral blood mononuclear cells																																AWS	public	FCR2_input.fastq	s3://sra-pub-zq-6/SRR13296035/SRR13296035.lite.1	Use Cloud Data Delivery	anonymous	s3.us-east-1	-	AWS	1	worldwide	Original	0	7253652947	fastq	2020-12-28 16:03:14	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-105/SRR13296035/SRR13296035.lite.1	1cb655f024fd465f5cd5b8091f9c0c3b	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13296/SRR13296035/SRR13296035.lite.1	gcp identity	s3://sra-pub-src-15/SRR13296035/FCR2_input.fastq.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13296035/SRR13296035	
SRX9724961	SRS7918355	SRP299114	GSM4987130	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	NextSeq 550	ChIP	GSM4987130: FlatCoatedRetriever2 - PBMCs H3K4me3; Canis lupus familiaris; ChIP-Seq	FlatCoatedRetriever2 - PBMCs H3K4me3					peripheral blood mononuclear cells		familiaris																H3K4me3			Flat Coated Retriever	peripheral blood mononuclear cells																																AWS	public	FCR2_H3K4me3.fastq	s3://sra-pub-zq-6/SRR13296034/SRR13296034.lite.1	Use Cloud Data Delivery	anonymous	s3.us-east-1	-	AWS	1	worldwide	Original	0	7971290436	fastq	2020-12-28 16:30:55	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-106/SRR13296034/SRR13296034.lite.1	e67b1064d34594ea00b076d8fb379c2a	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13296/SRR13296034/SRR13296034.lite.1	gcp identity	s3://sra-pub-src-16/SRR13296034/FCR2_H3K4me3.fastq.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13296034/SRR13296034	
SRX9724960	SRS7918353	SRP299114	GSM4987129	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	NextSeq 550	ChIP	GSM4987129: FlatCoatedRetriever2 - PBMCs H3K4me1; Canis lupus familiaris; ChIP-Seq	FlatCoatedRetriever2 - PBMCs H3K4me1					peripheral blood mononuclear cells		familiaris																H3K4me1			Flat Coated Retriever	peripheral blood mononuclear cells																																AWS	public	SRR13296033.lite	s3://sra-pub-zq-6/SRR13296033/SRR13296033.lite.1	anonymous	anonymous	s3.us-east-1	worldwide	AWS	1	worldwide	Primary ETL	1	648787995	SRA Lite	2022-07-25 07:05:24	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-105/SRR13296033/SRR13296033.lite.1	816bff99ac9ff24712d86113d9fb21a7	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13296/SRR13296033/SRR13296033.lite.1	gcp identity	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13296033/SRR13296033	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13296/SRR13296033/SRR13296033.lite.1	
SRX9724959	SRS7918352	SRP299114	GSM4987128	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	NextSeq 550	ChIP	GSM4987128: FlatCoatedRetriever1 - PBMCs input; Canis lupus familiaris; ChIP-Seq	FlatCoatedRetriever1 - PBMCs input					peripheral blood mononuclear cells		familiaris																none			Flat Coated Retriever	peripheral blood mononuclear cells																																AWS	public	SRR13296032.lite	s3://sra-pub-zq-6/SRR13296032/SRR13296032.lite.1	anonymous	anonymous	s3.us-east-1	worldwide	AWS	1	worldwide	Primary ETL	1	625354519	SRA Lite	2022-07-23 03:47:26	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-106/SRR13296032/SRR13296032.lite.1	72cb1138b2d10fd096f908e261eed166	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13296/SRR13296032/SRR13296032.lite.1	gcp identity	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13296032/SRR13296032	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13296/SRR13296032/SRR13296032.lite.1	
SRX9724958	SRS7918354	SRP299114	GSM4987127	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	NextSeq 550	ChIP	GSM4987127: FlatCoatedRetriever1 - PBMCs H3K4me3; Canis lupus familiaris; ChIP-Seq	FlatCoatedRetriever1 - PBMCs H3K4me3					peripheral blood mononuclear cells		familiaris																H3K4me3			Flat Coated Retriever	peripheral blood mononuclear cells																																AWS	public	SRR13296031.lite	s3://sra-pub-zq-4/SRR13296031/SRR13296031.lite.1	anonymous	anonymous	s3.us-east-1	worldwide	AWS	1	worldwide	Primary ETL	1	589442403	SRA Lite	2022-07-15 15:14:06	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-103/SRR13296031/SRR13296031.lite.1	537f35bf09a503b24669860482f6030f	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR013/13296/SRR13296031/SRR13296031.lite.1	gcp identity	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13296031/SRR13296031	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR013/13296/SRR13296031/SRR13296031.lite.1	
SRX9724957	SRS7918351	SRP299114	GSM4987126	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	NextSeq 550	ChIP	GSM4987126: FlatCoatedRetriever1 - PBMCs H3K4me1; Canis lupus familiaris; ChIP-Seq	FlatCoatedRetriever1 - PBMCs H3K4me1					peripheral blood mononuclear cells		familiaris																H3K4me1			Flat Coated Retriever	peripheral blood mononuclear cells																																AWS	public	SRR13296030.lite	s3://sra-pub-zq-6/SRR13296030/SRR13296030.lite.1	anonymous	anonymous	s3.us-east-1	worldwide	AWS	1	worldwide	Primary ETL	1	631051408	SRA Lite	2022-07-23 03:46:51	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-106/SRR13296030/SRR13296030.lite.1	eccaba92883851bbcb9540b96349bba9	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13296/SRR13296030/SRR13296030.lite.1	gcp identity	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13296030/SRR13296030	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13296/SRR13296030/SRR13296030.lite.1	
SRX9724956	SRS7918348	SRP299114	GSM4987125	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	NextSeq 550	ChIP	GSM4987125: BerneseMountainDog6 - PBMCs input; Canis lupus familiaris; ChIP-Seq	BerneseMountainDog6 - PBMCs input					peripheral blood mononuclear cells		familiaris																none			Bernese Mountain Dog	peripheral blood mononuclear cells																																AWS	public	BMD6_input.fastq	s3://sra-pub-zq-6/SRR13296029/SRR13296029.lite.1	Use Cloud Data Delivery	anonymous	s3.us-east-1	-	AWS	1	worldwide	Original	0	8444618684	fastq	2020-12-28 16:03:18	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-106/SRR13296029/SRR13296029.lite.1	7876f2bfc78d80a309a0a1f2baaff486	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13296/SRR13296029/SRR13296029.lite.1	gcp identity	s3://sra-pub-src-18/SRR13296029/BMD6_input.fastq.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13296029/SRR13296029	
SRX9724955	SRS7918350	SRP299114	GSM4987124	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	NextSeq 550	ChIP	GSM4987124: BerneseMountainDog6 - PBMCs H3K4me3; Canis lupus familiaris; ChIP-Seq	BerneseMountainDog6 - PBMCs H3K4me3					peripheral blood mononuclear cells		familiaris																H3K4me3			Bernese Mountain Dog	peripheral blood mononuclear cells																																AWS	public	SRR13296028.lite	s3://sra-pub-zq-4/SRR13296028/SRR13296028.lite.1	anonymous	anonymous	s3.us-east-1	worldwide	AWS	1	worldwide	Primary ETL	1	633386350	SRA Lite	2022-07-15 15:13:48	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-103/SRR13296028/SRR13296028.lite.1	988b9619c50ae84b3c6d1849c1778ae0	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR013/13296/SRR13296028/SRR13296028.lite.1	gcp identity	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13296028/SRR13296028	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR013/13296/SRR13296028/SRR13296028.lite.1	
SRX9724954	SRS7918349	SRP299114	GSM4987123	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	NextSeq 550	ChIP	GSM4987123: BerneseMountainDog6 - PBMCs H3K4me1; Canis lupus familiaris; ChIP-Seq	BerneseMountainDog6 - PBMCs H3K4me1					peripheral blood mononuclear cells		familiaris																H3K4me1			Bernese Mountain Dog	peripheral blood mononuclear cells																																AWS	public	SRR13296027.lite	s3://sra-pub-zq-4/SRR13296027/SRR13296027.lite.1	anonymous	anonymous	s3.us-east-1	worldwide	AWS	1	worldwide	Primary ETL	1	650008304	SRA Lite	2022-07-15 15:14:28	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-103/SRR13296027/SRR13296027.lite.1	9fa8fa3eb1703d55d412e841b0dc79c0	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR013/13296/SRR13296027/SRR13296027.lite.1	gcp identity	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13296027/SRR13296027	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR013/13296/SRR13296027/SRR13296027.lite.1	
SRX9724953	SRS7918347	SRP299114	GSM4987122	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	NextSeq 550	ChIP	GSM4987122: BerneseMountainDog5 - PBMCs input; Canis lupus familiaris; ChIP-Seq	BerneseMountainDog5 - PBMCs input					peripheral blood mononuclear cells		familiaris																none			Bernese Mountain Dog	peripheral blood mononuclear cells																																AWS	public	SRR13296026.lite	s3://sra-pub-zq-6/SRR13296026/SRR13296026.lite.1	anonymous	anonymous	s3.us-east-1	worldwide	AWS	1	worldwide	Primary ETL	1	689092972	SRA Lite	2022-07-25 07:05:19	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-105/SRR13296026/SRR13296026.lite.1	30f66152fef84b0be2230b00085a954b	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13296/SRR13296026/SRR13296026.lite.1	gcp identity	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13296026/SRR13296026	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13296/SRR13296026/SRR13296026.lite.1	
SRX9724952	SRS7918346	SRP299114	GSM4987121	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	NextSeq 550	ChIP	GSM4987121: BerneseMountainDog5 - PBMCs H3K4me3; Canis lupus familiaris; ChIP-Seq	BerneseMountainDog5 - PBMCs H3K4me3					peripheral blood mononuclear cells		familiaris																H3K4me3			Bernese Mountain Dog	peripheral blood mononuclear cells																																AWS	public	SRR13296025.lite	s3://sra-pub-zq-4/SRR13296025/SRR13296025.lite.1	anonymous	anonymous	s3.us-east-1	worldwide	AWS	1	worldwide	Primary ETL	1	696313265	SRA Lite	2022-07-15 15:13:50	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-103/SRR13296025/SRR13296025.lite.1	679f5005996be23d88452ddae52f407e	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR013/13296/SRR13296025/SRR13296025.lite.1	gcp identity	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13296025/SRR13296025	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR013/13296/SRR13296025/SRR13296025.lite.1	
SRX9724951	SRS7918345	SRP299114	GSM4987120	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	NextSeq 550	ChIP	GSM4987120: BerneseMountainDog5 - PBMCs H3K4me1; Canis lupus familiaris; ChIP-Seq	BerneseMountainDog5 - PBMCs H3K4me1					peripheral blood mononuclear cells		familiaris																H3K4me1			Bernese Mountain Dog	peripheral blood mononuclear cells																																AWS	public	SRR13296024.lite	s3://sra-pub-zq-4/SRR13296024/SRR13296024.lite.1	anonymous	anonymous	s3.us-east-1	worldwide	AWS	1	worldwide	Primary ETL	1	654383424	SRA Lite	2022-07-15 15:13:41	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-103/SRR13296024/SRR13296024.lite.1	744b0b7af46f4ea998b85cbec85b5240	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR013/13296/SRR13296024/SRR13296024.lite.1	gcp identity	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13296024/SRR13296024	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR013/13296/SRR13296024/SRR13296024.lite.1	
SRX9724950	SRS7918344	SRP299114	GSM4987119	Canis lupus familiaris	9615	ChIP-Seq	GENOMIC	NextSeq 550	ChIP	GSM4987119: BerneseMountainDog4 - PBMCs input; Canis lupus familiaris; ChIP-Seq	BerneseMountainDog4 - PBMCs input					peripheral blood mononuclear cells		familiaris																none			Bernese Mountain Dog	peripheral blood mononuclear cells																																AWS	public	BMD4_input.fastq	s3://sra-pub-zq-6/SRR13296023/SRR13296023.lite.1	Use Cloud Data Delivery	anonymous	s3.us-east-1	-	AWS	1	worldwide	Original	0	6281300338	fastq	2020-12-23 16:31:28	NCBI	gs.us-east1	aws identity	gs://sra-pub-zq-105/SRR13296023/SRR13296023.lite.1	0391c70587ff5c5150d3005d7105e349	GCP	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13296/SRR13296023/SRR13296023.lite.1	gcp identity	s3://sra-pub-src-15/SRR13296023/BMD4_input.fastq.1	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13296023/SRR13296023	
